TimeStamp, X, Y, Z
8/13/2020 23:54,0.036,0.038,1.014
8/13/2020 23:54,0.039,0.04,1.013
8/13/2020 23:54,0.039,0.041,1.011
8/13/2020 23:54,0.031,0.039,1.008
8/13/2020 23:54,0.038,0.038,1.004
8/13/2020 23:54,0.039,0.036,1.008
8/13/2020 23:54,0.035,0.043,1.011
8/13/2020 23:54,0.039,0.042,1.014
8/13/2020 23:54,0.035,0.042,1.015
8/13/2020 23:54,0.045,0.043,1.012
8/13/2020 23:54,0.041,0.043,1.007
8/13/2020 23:54,0.043,0.041,1.009
8/13/2020 23:54,0.039,0.042,1.013
8/13/2020 23:54,0.035,0.041,1.006
8/13/2020 23:54,0.043,0.041,1.015
8/13/2020 23:54,0.037,0.04,1.012
8/13/2020 23:54,0.038,0.044,1.011
8/13/2020 23:54,0.04,0.041,1.009
8/13/2020 23:54,0.042,0.039,1.01
8/13/2020 23:54,0.04,0.04,1.01
8/13/2020 23:54,0.043,0.04,1.016
8/13/2020 23:54,0.032,0.041,1.016
8/13/2020 23:54,0.04,0.04,1.011
8/13/2020 23:54,0.041,0.04,1.015
8/13/2020 23:54,0.036,0.039,1.011
8/13/2020 23:54,0.041,0.037,1.018
8/13/2020 23:54,0.035,0.042,1.012
8/13/2020 23:54,0.037,0.039,1.018
8/13/2020 23:54,0.037,0.042,1.016
8/13/2020 23:54,0.044,0.039,1.013
8/13/2020 23:54,0.042,0.046,1.013
8/13/2020 23:54,0.045,0.043,1.01
8/13/2020 23:54,0.039,0.041,1.017
8/13/2020 23:54,0.042,0.04,1.012
8/13/2020 23:54,0.039,0.044,1.015
8/13/2020 23:54,0.038,0.038,1.017
8/13/2020 23:54,0.04,0.043,1.017
8/13/2020 23:54,0.038,0.044,1.02
8/13/2020 23:54,0.039,0.042,1.012
8/13/2020 23:54,0.04,0.04,1.019
8/13/2020 23:54,0.035,0.038,1.014
8/13/2020 23:54,0.042,0.04,1.007
8/13/2020 23:54,0.038,0.042,1.013
8/13/2020 23:54,0.039,0.042,1.012
8/13/2020 23:54,0.044,0.043,1.009
8/13/2020 23:54,0.035,0.041,1.01
8/13/2020 23:54,0.04,0.038,1.013
8/13/2020 23:54,0.039,0.043,1.011
8/13/2020 23:54,0.04,0.04,1.016
8/13/2020 23:54,0.04,0.038,1.014
8/13/2020 23:54,0.038,0.039,1.012
8/13/2020 23:54,0.037,0.043,1.014
8/13/2020 23:54,0.04,0.04,1.003
8/13/2020 23:54,0.041,0.04,1.014
8/13/2020 23:54,0.039,0.042,1.009
8/13/2020 23:54,0.041,0.037,1.008
8/13/2020 23:54,0.031,0.043,1.014
8/13/2020 23:54,0.036,0.044,1.015
8/13/2020 23:54,0.039,0.042,1.01
8/13/2020 23:54,0.042,0.042,1.009
8/13/2020 23:54,0.039,0.042,1.01
8/13/2020 23:54,0.037,0.041,1.015
8/13/2020 23:54,0.039,0.038,1.008
8/13/2020 23:54,0.041,0.035,1.013
8/13/2020 23:54,0.034,0.04,1.011
8/13/2020 23:54,0.039,0.044,1.012
